000 00E1207FF7FF 00000000 000007ff 000007ff 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
01B 10FE10001000 00000000 00000001 00000000 00000001 00000004 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000ff3 00000014
01C 10AE10000000 00000000 00000000 00000000 00000001 00000004 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000ff3 00000014
01D 00EE10004000 00000000 00000004 00000000 00000001 00000004 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000ff3 00000014
01E 09000F000000 00000000 00000000 00000000 00000001 00000004 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000ff7 00000014
014 00A300000000 00000000 00000000 00000000 00000001 00000004 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000ff7 00000014
015 003000000000 00000000 00000000 00000000 00000001 00000004 00000004 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000ff7 00000014
016 015510001000 00000000 00000001 00000000 00000000 00000004 00000004 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000ff7 00000014
017 0FF00200000B 00000000 00000000 0000000b 00000000 00000004 00000003 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000ff7 00000014
00B 01EE10004000 00000000 00000004 00000000 00000000 00000004 00000003 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000ff7 00000018
00C 110E1A000000 00000000 00000000 00000000 00000000 00000004 00000003 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000ff3 00000018
00D 110E1F001000 00000000 00000001 00000000 00000000 00000004 00000003 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000ff3 00000018
00E 110E14002000 00000000 00000002 00000000 00000000 00000004 00000003 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000ff3 00000018
00F 110E15003000 00000000 00000003 00000000 00000000 00000004 00000003 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000ff3 00000018
010 090052000009 00000000 00000000 00000009 00000000 00000004 00000003 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000ff3 00000018
011 090452000009 00000000 00000000 00000009 00000000 00000004 00000003 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000ff3 00000018
012 014410001000 00000000 00000001 00000000 00000000 00000004 00000003 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000ff3 00000018
013 0FF00200000B 00000000 00000000 0000000b 00000000 00000003 00000003 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000ff3 00000018
00B 01EE10004000 00000000 00000004 00000000 00000000 00000003 00000003 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000ff3 00000014
00C 110E1A000000 00000000 00000000 00000000 00000000 00000003 00000003 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000fef 00000014
00D 110E1F001000 00000000 00000001 00000000 00000000 00000003 00000003 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000fef 00000014
00E 110E14002000 00000000 00000002 00000000 00000000 00000003 00000003 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000fef 00000014
00F 110E15003000 00000000 00000003 00000000 00000000 00000003 00000003 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000fef 00000014
010 090052000009 00000000 00000000 00000009 00000000 00000003 00000003 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000fef 00000014
011 090452000009 00000000 00000000 00000009 00000000 00000003 00000003 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000fef 00000014
009 003100001000 00000000 00000001 00000000 00000000 00000003 00000003 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000fef 00000014
00A 090002000019 00000000 00000000 00000019 00000001 00000003 00000003 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000fef 00000014
019 105E10003000 00000000 00000003 00000000 00000001 00000003 00000003 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000fef 00000014
01A 104E10002000 00000000 00000002 00000000 00000001 00000003 00000003 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000fef 00000014
01B 10FE10001000 00000000 00000001 00000000 00000001 00000003 00000003 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000fef 00000014
01C 10AE10000000 00000000 00000000 00000000 00000001 00000003 00000003 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000fef 00000014
01D 00EE10004000 00000000 00000004 00000000 00000001 00000003 00000003 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000fef 00000014
01E 09000F000000 00000000 00000000 00000000 00000001 00000003 00000003 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000ff3 00000014
014 00A300000000 00000000 00000000 00000000 00000001 00000003 00000003 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000ff3 00000014
015 003000000000 00000000 00000000 00000000 00000001 00000003 00000003 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000ff3 00000014
